Rey,u_mean,du/dy,TKE*,u_rms,v_rms,w_rms,uv
558.6183364,0.76185351,1.05360602,0.009960285,0.014665798,0.001672996,0.003581776,2.18E-03
589.9827378,0.771408532,0.958814753,0.009659394,0.013968818,0.001751931,0.003598038,2.18E-03
622.1205428,0.780339418,0.876730442,0.009367584,0.013303081,0.001824186,0.003607902,2.18E-03
655.0226685,0.788719759,0.805499974,0.009085918,0.012670791,0.001889434,0.00361161,2.17E-03
688.6798156,0.796614277,0.743526079,0.008815104,0.012073252,0.001947452,0.003609504,2.16E-03
723.0824717,0.804079917,0.689493661,0.008555552,0.011510956,0.001998116,0.003602032,2.14E-03
758.2209136,0.811167151,0.642305544,0.008307415,0.010983842,0.002041405,0.003589584,2.12E-03
794.0852102,0.817920717,0.601019431,0.008070625,0.010491398,0.002077413,0.003572439,2.10E-03
830.6652252,0.824380324,0.564841649,0.007844763,0.010032372,0.00210635,0.003550805,2.08E-03
867.95062,0.830581191,0.533072492,0.00762915,0.009605023,0.002128522,0.003524755,2.06E-03
905.9308567,0.836554265,0.505092359,0.007422942,0.009207329,0.002144321,0.003494233,2.03E-03
944.595201,0.84232652,0.480352765,0.007225247,0.008836965,0.002154198,0.003459331,2.00E-03
983.9327252,0.847921263,0.458391508,0.007035245,0.008491408,0.002158615,0.003420467,1.97E-03
1023.932311,0.853358874,0.438844376,0.006852143,0.00816819,0.002158015,0.00337808,1.94E-03
1064.582655,0.85865744,0.421419559,0.006675188,0.007865136,0.002152822,0.003332417,1.91E-03
1105.872266,0.863833256,0.405870197,0.006503778,0.0075805,0.002143436,0.003283619,1.88E-03
1147.789475,0.868900535,0.391891965,0.006337491,0.007312977,0.002130227,0.003231778,1.84E-03
1190.322436,0.873870174,0.37911595,0.006175988,0.007061265,0.002113558,0.003177153,1.81E-03
1233.459128,8.79E-01,0.367231221,6.02E-03,6.82E-03,2.09E-03,3.12E-03,1.77E-03
1277.187358,0.883542891,0.356074421,5.87E-03,6.60E-03,2.07E-03,3.06E-03,1.73E-03
1321.494768,0.888254708,0.345612911,5.72E-03,6.39E-03,2.05E-03,3.00E-03,1.70E-03
1366.368835,0.892889089,0.33582117,5.57E-03,6.18E-03,2.02E-03,2.94E-03,1.66E-03
1411.796876,0.897450181,0.326654163,5.43E-03,5.99E-03,1.99E-03,2.88E-03,1.62E-03
1457.766053,0.90194203,0.318077626,0.005289075,5.81E-03,1.96E-03,2.81E-03,1.58E-03
1504.263373,0.906368318,0.310009424,0.005152207,5.63E-03,0.00192936,2.75E-03,1.55E-03
1551.275694,0.910731541,0.30232822,0.005017493,5.46E-03,0.001896932,2.68E-03,1.51E-03
1598.78973,0.915032872,0.294935578,0.004884606,5.29E-03,0.001863714,2.62E-03,1.47E-03
1646.792052,0.919272357,0.287734688,0.004753504,5.13E-03,0.001829945,2.55E-03,1.43E-03
1695.269093,0.923448689,0.280620248,0.004624353,4.97E-03,0.00179583,2.48E-03,1.38E-03
1744.207151,0.92755942,0.273531074,0.004497162,4.82E-03,0.001761525,0.00241423,1.34E-03
1793.592396,0.931601583,0.266438484,0.004371836,4.67E-03,0.001727152,0.002347508,1.30E-03
1843.41087,0.93557197,0.259331706,0.004248309,4.52E-03,0.001692817,0.002281214,1.26E-03
1893.648492,0.939467561,0.25223587,0.004126646,4.38E-03,0.00165863,0.00221547,1.22E-03
1944.291065,0.943285937,0.245187342,0.004006927,0.004238815,0.001624701,0.002150339,1.17E-03
1995.324275,0.947025202,0.238200931,0.003889051,0.004101075,0.001591151,0.002085876,1.13E-03
2046.733698,0.950683508,0.231253593,0.003772911,0.003965499,0.001558099,0.002022224,1.08E-03
2098.504805,0.954258441,0.224284084,0.003658613,0.00383199,0.001525646,0.001959591,1.04E-03
2150.622964,0.957746485,0.217206544,0.003546362,0.00370062,0.001493881,0.001898224,9.95E-04
2203.073445,0.961142807,0.209938887,0.003436365,0.00357144,0.001462912,0.001838379,9.50E-04
2255.841423,0.964441582,0.202437563,0.003328759,0.003444531,0.001432871,0.001780117,9.04E-04
2308.911986,0.967636649,0.194696625,0.00322362,0.003320024,0.001403916,0.001723299,8.59E-04
2362.270133,0.970721943,0.186728198,0.003121062,0.00319804,0.001376195,0.001667889,8.13E-04
2415.900784,0.973691755,0.178556123,0.003021321,0.003078802,0.001349812,0.001614029,7.67E-04
2469.788782,0.976540605,0.170167104,0.00292475,0.002962645,0.001324828,0.001562027,7.21E-04
2523.918896,0.979262385,0.161499199,0.00283166,0.002849784,0.001301286,0.001512251,6.75E-04
2578.275827,0.98185015,0.152517038,0.002742259,0.00274034,0.001279227,0.00146495,6.29E-04
2632.844214,0.984296809,0.143222677,0.00265685,0.002634647,0.00125868,0.001420373,5.83E-04
2687.608632,0.986595184,0.133585524,0.002575931,0.002533419,0.001239655,0.001378787,5.36E-04
2742.553604,0.988737299,0.123542558,0.002499983,0.002437485,0.00122217,0.001340311,4.90E-04
